IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores
210910;2109103310316;0;257;273;138;218;18;15/04/2021;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;3; ;1; ;1;1;1; ;1;1;3
210910;2109103310316;0;257;232;292;21;20;04/01/2021;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;1;2;3; ; ;1; ; ; ;1; ; ; ;1; ; ; ;3; ;1; ;1;1;1; ;1;1;3
210910;2109103310316;0;257;274;266;218;272;10/05/2021;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;3; ;1; ;1;1;1; ;1;1;3
211070;2110703308173;0;257;275;266;21;272;02/01/2021;2110708;21;2;São Domingos do Maranhão;33607;17313;16294;Pequeno II;1151,978; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ; ;3;1;1; ; ;1; ; ; ;3;3
211070;2110703308173;0;257;273;266;218;272;04/01/2021;2110708;21;2;São Domingos do Maranhão;33607;17313;16294;Pequeno II;1151,978; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;3;1;1; ; ;1; ; ; ;3;3
211070;2110703308173;0;257;274;266;218;272;11/08/2021;2110708;21;2;São Domingos do Maranhão;33607;17313;16294;Pequeno II;1151,978; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;3;1;1; ; ;1; ; ; ;3;3
211085;2110853312847;0;257;273;292;21;20;09/09/2021;2110856;21;2;São Francisco do Brejão;10261;4836;5425;Pequeno I;745,606; ;2;31.08.2021;8/31/2021;1;2;3; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ;1; ;1
211130;2111303306232;0;258;273;292;21;20;03/11/2021;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827; ;2;31.08.2021;8/31/2021;2;2;3; ; ;1; ;1; ; ; ; ; ;1; ; ; ;3; ;2; ; ;1;2; ;1; ;3
211130;2111303306232;0;257;274;138;218;18;10/07/2019;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827; ;2;31.08.2021;8/31/2021;1;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ;3; ;2; ; ;1;2; ;1; ;3
211130;2111303306232;0;257;273;138;218;18;02/02/2015;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827; ;2;31.08.2021;8/31/2021;4;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;3; ;2; ; ;1;2; ;1; ;3
211220;2112203307751;0;258;274;138;218;18;14/06/2021;2112209;21;2;Timon;155460;135133;20327;Grande;1764,612; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ;3; ;1; ; ;1;1; ;2; ;3
211220;2112203307751;0;257;273;292;218;18;04/01/2021;2112209;21;2;Timon;155460;135133;20327;Grande;1764,612; ;2;31.08.2021;8/31/2021;1;2;3; ; ;1; ;1; ; ; ; ; ;1; ; ; ;3; ;1; ; ;1;1; ;2; ;3
211220;2112203307751;0;257;237;292;21;18;17/05/2021;2112209;21;2;Timon;155460;135133;20327;Grande;1764,612; ;2;31.08.2021;8/31/2021;3;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;3; ;1; ; ;1;1; ;2; ;3
221100;2211003306526;0;257;237;264;216;272;15/01/2021;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003306526;0;257;273;362;218;272;02/02/2021;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003306526;0;257;237;362;254;272;15/04/2021;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003306526;0;258;273;362;218;272;15/06/2021;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003306526;0;257;273;362;216;18;05/05/2019;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003306526;0;257;273;265;21;20;15/06/2015;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;5;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003306526;1;257;237;362;220;263;04/03/2009;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003306526;1;257;274;362;218;272;02/02/2021;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003306526;1;255;238;362;254;263;29/03/2009;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;1;8; ;4; ; ;1; ; ; ;9;9
221100;2211003307103;0;257;274;138;218;18;10/07/2013;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ;1;3; ;2; ; ;1;2; ; ;2;4
221100;2211003307103;0;255;238;293;216;263;01/03/2016;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;1;3; ;2; ; ;1;2; ; ;2;4
221100;2211003307103;0;257;273;138;218;18;08/02/2002;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981; ;2;31.08.2021;8/31/2021;4;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ;1;3; ;2; ; ;1;2; ; ;2;4
