IBGE;IBGE7;UF;Regiao;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_Municipal;NU_IDENTIFICADOR;q_33_2;q_33_3;q_33_9;q_33_10;q_33_11;q_33_12;q_33_13;q_33_14;DataCenso;DataCenso_2018;q_33_2_rec;Idade;d_33_2_Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;02/01/1978;1;254;239;266;254;20;22/05/2017;31.08.2018;8/31/2018;1/2/1978;40;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;21/09/1992;1;257;274;266;254;20;22/05/2017;31.08.2018;8/31/2018;9/21/1992;25;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;30/09/1997;0;255;239;266;254;20;22/05/2017;31.08.2018;8/31/2018;9/30/1997;20;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;11/04/1952;1;257;273;142;21;20;22/05/2018;31.08.2018;8/31/2018;4/11/1952;66;5;2;4; ; ;1; ;1; ; ; ; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;29/01/1965;0;255;239;266;372;20;22/05/2017;31.08.2018;8/31/2018;1/29/1965;53;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;01/06/1966;1;257;273;266;254;20;22/05/2017;31.08.2018;8/31/2018;6/1/1966;52;4;2;4; ; ;1; ;1; ; ; ; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;23/06/1965;1;257;273;266;254;20;22/05/2017;31.08.2018;8/31/2018;6/23/1965;53;4;2;4; ; ;1; ;1; ; ; ; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;26/12/1976;1;257;236;138;254;20;22/05/2017;31.08.2018;8/31/2018;12/26/1976;41;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;2;7;0;4;0;0;2;1;0;0;9;10
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;11/06/1969;1;258;273;266;254;20;22/05/2017;31.08.2018;8/31/2018;6/11/1969;49;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
210047;2100477;21;2;Alto Alegre do Pindaré;621431;31057;9829;21228;2;1876,032;1;2100473309442;04/07/1987;1;257;274;266;218;20;23/11/2018;31.08.2018;8/31/2018;7/4/1987;31;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;0;2;0;0;0;1;1;0;0;0;2;2
210047;2100477;21;2;Alto Alegre do Pindaré;621431;31057;9829;21228;2;1876,032;1;2100473309442;18/06/1963;0;257;232;266;218;20;23/11/2018;31.08.2018;8/31/2018;6/18/1963;55;4;2;4; ; ;1; ; ; ;1; ; ; ; ;1;0;0;2;0;0;0;1;1;0;0;0;2;2
210100;2101004;21;2;Arari;564191;28488;17483;11005;2;1100,275;1;2101003308844;25/05/1993;0;257;232;266;21;18;03/10/2018;31.08.2018;8/31/2018;5/25/1993;25;1;2;4; ; ;1; ; ; ;1; ; ; ; ;1;0;1;3;0;1;0;1;1;0;0;0;4;4
